ID,SemesterID,YearCode,NPM,ScheduleID,MKCode,MKName,MKNameEng,Evaluasi1,Evaluasi2,Evaluasi3,Evaluasi4,Evaluasi5,UTS,UAS,Score,Grade,Approval,TotalSKS
336,3,20141,12140009,307,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",82,75,90,,93,53.00,88,74.85,B,1,4
337,3,20141,12140010,243,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",85,85,90,,80,84.00,85,84.65,A-,1,4
338,3,20141,12140011,127,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",90,85,85,,70,92.00,95,90.20,A,1,4
389,3,20141,12140002,307,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",88,85,90,,96,95.00,75,86.43,A,1,4
390,3,20141,12140003,118,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",83,85,90,,85,89.00,93,89.43,A,1,4
391,3,20141,12140004,307,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",88,85,90,,96,100.0,94,94.83,A,1,4
393,3,20141,12140006,121,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",84,75,90,,70,71,86,78.88,B+,1,4
394,3,20141,12140007,127,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",82,85,85,,79,90.00,91.5,88.35,A,1,4
395,3,20141,12140008,121,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",81,75,90,,93,90.00,87.0,87.38,A,1,4
405,3,20141,12140006,307,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",84,75,90,,70,71,86,78.88,B+,1,4
406,3,20141,12140007,118,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",82,85,85,,79,90.00,91.5,88.35,A,1,4
407,3,20141,12140008,307,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",81,75,90,,93,90.00,87.0,87.38,A,1,4
408,3,20141,12140009,121,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",82,75,90,,93,53.00,88,74.85,B,1,4
409,3,20141,12140010,124,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",85,85,90,,80,84.00,85,84.65,A-,1,4
410,3,20141,12140011,118,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",90,85,85,,70,92.00,95,90.20,A,1,4
776,3,20141,12140001,124,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",82,75,90,,70,76.00,60,71.38,B,1,4
777,3,20141,12140002,121,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",88,85,90,,96,95.00,75,86.43,A,1,4
778,3,20141,12140003,127,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",83,85,90,,85,89.00,93,89.43,A,1,4
779,3,20141,12140004,121,UNI1004,"Creative Thinking & The Power of Simplicity","Creative Thinking & The Power of Simplicity",88,85,90,,96,100.0,94,94.83,A,1,4
67,3,20141,11140005,62,UNI1003,"Rhetoric 1","Rhetoric 1",72.25,85,100,100,100,85.00,83.88,86.11,A,1,4
68,3,20141,11140006,257,UNI1003,"Rhetoric 1","Rhetoric 1",57.5,90,100,60,100,66.67,56.66,65.87,B-,1,4
69,3,20141,11140007,62,UNI1003,"Rhetoric 1","Rhetoric 1",78.75,50,100,15,75,70.00,59.73,63.82,C+,1,4
70,3,20141,11140008,257,UNI1003,"Rhetoric 1","Rhetoric 1",42,87.5,100,40,100,71.67,64.17,68.85,B-,1,4
71,3,20141,11140009,62,UNI1003,"Rhetoric 1","Rhetoric 1",94,100,100,100,100,93.33,89.21,92.84,A,1,4
72,3,20141,11140010,257,UNI1003,"Rhetoric 1","Rhetoric 1",77.5,85,66,60,85,70.00,67.5,70.05,B,1,4
73,3,20141,11140011,62,UNI1003,"Rhetoric 1","Rhetoric 1",88.75,90,100,100,100,76.67,69.72,78.31,B+,1,4
74,3,20141,11140012,62,UNI1003,"Rhetoric 1","Rhetoric 1",90.25,100,100,100,100,91.67,88.66,91.91,A,1,4
153,3,20141,11140005,87,UNI1003,"Rhetoric 1","Rhetoric 1",72.25,85,100,100,100,85.00,83.88,86.11,A,1,4
154,3,20141,11140006,295,UNI1003,"Rhetoric 1","Rhetoric 1",57.5,90,100,60,100,66.67,56.66,65.87,B-,1,4
155,3,20141,11140007,87,UNI1003,"Rhetoric 1","Rhetoric 1",78.75,50,100,15,75,70.00,59.73,63.82,C+,1,4
156,3,20141,11140008,295,UNI1003,"Rhetoric 1","Rhetoric 1",42,87.5,100,40,100,71.67,64.17,68.85,B-,1,4
157,3,20141,11140009,87,UNI1003,"Rhetoric 1","Rhetoric 1",94,100,100,100,100,93.33,89.21,92.84,A,1,4
158,3,20141,11140010,295,UNI1003,"Rhetoric 1","Rhetoric 1",77.5,85,66,60,85,70.00,67.5,70.05,B,1,4
159,3,20141,11140011,87,UNI1003,"Rhetoric 1","Rhetoric 1",88.75,90,100,100,100,76.67,69.72,78.31,B+,1,4
160,3,20141,11140012,87,UNI1003,"Rhetoric 1","Rhetoric 1",90.25,100,100,100,100,91.67,88.66,91.91,A,1,4
185,3,20141,11140013,339,UNI1003,"Rhetoric 1","Rhetoric 1",73.5,90,100,60,100,71.67,73.88,75.92,B+,1,4
186,3,20141,11140014,87,UNI1003,"Rhetoric 1","Rhetoric 1",86.25,92.5,66,70,100,83.34,72.84,78.52,B+,1,4
187,3,20141,11140015,339,UNI1003,"Rhetoric 1","Rhetoric 1",89,100,100,60,100,80.00,81.10,82.94,A-,1,4
190,3,20141,11140018,295,UNI1003,"Rhetoric 1","Rhetoric 1",74,100,66,70,100,80.00,68.05,75.12,B+,1,4
191,3,20141,11140019,62,UNI1003,"Rhetoric 1","Rhetoric 1",91.5,95,100,75,100,80.00,78.39,82.35,A-,1,4
