ID,SemesterID,ProgramsCampusID,BaseProdiID,MKID,MKCode,Teacher,TeamTeaching,DayID,ClassroomID,ClassGroup,StartSessions,EndSessions
46,3,1,7,4,SOC1001,1014034,1,3,4,15,15:00:00,16:50:00
51,3,1,4,1,UNI1004,1114053,1,2,4,9,10:00:00,11:50:00
52,3,1,6,3,UNI1001,1114005,1,2,4,7,13:00:00,14:50:00
53,3,1,7,3,UNI1001,1114005,1,2,4,7,13:00:00,14:50:00
54,3,1,13,3,UNI1001,1114005,1,2,4,7,13:00:00,14:50:00
55,3,1,4,13,CEM1012,1014034,1,2,5,19,15:00:00,16:50:00
59,3,1,3,10,ARC1031,2114002,1,2,8,20,15:00:00,17:50:00
60,3,1,3,3,UNI1001,1114005,1,3,3,8,10:00:00,11:50:00
61,3,1,4,3,UNI1001,1114005,0,3,3,8,10:00:00,11:50:00
62,3,1,6,2,UNI1003,1114048,1,3,5,5,10:00:00,11:50:00
63,3,1,7,2,UNI1003,1114048,1,3,5,5,10:00:00,11:50:00
64,3,1,13,2,UNI1003,1114048,1,3,5,5,10:00:00,11:50:00
69,3,1,13,20,HBP1004,3114014,1,3,2,18,13:00:00,14:50:00
71,3,1,3,11,ARC1041,2114033,1,3,8,20,08:00:00,11:50:00
72,3,1,6,3,UNI1001,1114005,1,4,3,5,10:00:00,11:50:00
73,3,1,7,3,UNI1001,1114005,1,4,3,5,10:00:00,11:50:00
74,3,1,13,3,UNI1001,1114005,0,4,3,5,10:00:00,11:50:00
75,3,1,3,2,UNI1003,1114048,1,4,5,7,10:00:00,11:50:00
76,3,1,4,2,UNI1003,1114048,1,4,5,7,10:00:00,11:50:00
80,3,1,6,3,UNI1001,1114005,1,4,2,7,13:00:00,14:50:00
81,3,1,7,3,UNI1001,1114005,0,4,2,7,13:00:00,14:50:00
82,3,1,13,3,UNI1001,1114005,1,4,2,7,13:00:00,14:50:00
83,3,1,4,16,CEM1041,2214036,1,3,5,19,13:00:00,14:50:00
84,3,1,3,9,ARC1021,2114041,1,4,8,20,15:00:00,17:50:00
85,3,1,3,3,UNI1001,1114005,1,5,9,8,10:00:00,11:50:00
86,3,1,4,3,UNI1001,1114005,0,5,9,8,10:00:00,11:50:00
87,3,1,6,2,UNI1003,1114048,1,5,2,5,10:00:00,11:50:00
88,3,1,7,2,UNI1003,1114048,0,5,2,5,10:00:00,11:50:00
89,3,1,13,2,UNI1003,1114048,0,5,2,5,10:00:00,11:50:00
94,3,1,13,17,HBP1007,3115061,1,5,1,18,08:00:00,09:50:00
97,3,1,3,11,ARC1041,2114033,1,3,8,20,13:00:00,17:50:00
