ID,TahunID,ProdiID,ProgramID,MKID,HariID,DosenID,AsistenType,AsistenID,RuangID,WaktuID,WaktuID2,JamMulai,JamSelesai,JumlahMhsw,UTSTanggal,UTSJamMulai,UTSJamSelesai,UTSRuangID,UASTanggal,UASJamMulai,UASJamSelesai,UASRuangID,Elearning,gabungan,IDJadwalGabungan,MKKode,KelasID,GrupKelasID,UTSPengawas1,UTSPengawas2,UASPengawas1,UASPengawas2,status,KodeWaktu,Teamteaching,Force,Bond,glue,Penanda
46,3,7,1,4,3,25,NULL,NULL,4,8,9,15:00:00,16:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,2,SOC1001,1,15,0,0,0,0,Y,,1,0,D,4_1_15_3,Z
51,3,4,1,1,2,13,NULL,NULL,4,3,4,10:00:00,11:50:00,19,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,4,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
52,3,6,1,3,2,8,NULL,NULL,4,6,7,13:00:00,14:50:00,17,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,5,UNI1001,1,7,0,0,0,0,Y,,1,0,A,3_1_7_3,B
53,3,7,1,3,2,8,NULL,NULL,4,6,7,13:00:00,14:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,5,UNI1001,1,7,0,0,0,0,Y,,1,0,A,3_1_7_3,B
54,3,13,1,3,2,8,NULL,NULL,4,6,7,13:00:00,14:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,5,UNI1001,1,7,0,0,0,0,Y,,1,0,A,3_1_7_3,B
55,3,4,1,13,2,25,NULL,NULL,5,8,9,15:00:00,16:50:00,30,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,6,CEM1012,1,19,0,0,0,0,Y,,1,0,NULL,13_1_19_3,Z
59,3,3,1,10,2,5,NULL,NULL,8,8,10,15:00:00,17:50:00,35,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,9,ARC1031,1,20,0,0,0,0,Y,,1,0,NULL,10_1_20_3,Z
60,3,3,1,3,3,8,NULL,NULL,3,3,4,10:00:00,11:50:00,11,0000-00-00,10:00:00,11:50:00,3,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,10,UNI1001,1,8,0,0,0,0,Y,,1,0,A,3_1_8_3,C
61,3,4,1,3,3,8,NULL,NULL,3,3,4,10:00:00,11:50:00,19,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,10,UNI1001,1,8,0,0,0,0,Y,,0,0,A,3_1_8_3,C
62,3,6,1,2,3,47,NULL,NULL,5,3,4,10:00:00,11:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,11,UNI1003,1,5,0,0,0,0,Y,,1,0,B,2_1_5_3,A
63,3,7,1,2,3,47,NULL,NULL,5,3,4,10:00:00,11:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,11,UNI1003,1,5,0,0,0,0,Y,,1,0,B,2_1_5_3,A
64,3,13,1,2,3,47,NULL,NULL,5,3,4,10:00:00,11:50:00,15,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,11,UNI1003,1,5,0,0,0,0,Y,,1,0,B,2_1_5_3,A
69,3,13,1,20,3,14,NULL,NULL,2,6,7,13:00:00,14:50:00,52,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,13,HBP1004,1,18,0,0,0,0,Y,,1,0,NULL,20_1_18_3,Z
70,3,4,1,14,4,6,NULL,NULL,3,8,9,15:00:00,16:50:00,30,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,14,CEM1013,1,19,0,0,0,0,Y,,1,0,NULL,14_1_19_3,Z
71,3,3,1,11,3,18,NULL,NULL,8,1,4,08:00:00,11:50:00,35,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,TIDAK,15,ARC1041,1,20,0,0,0,0,Y,,1,0,NULL,11_1_20_3,Z
