MKID,SemesterID,ProgramCampusID,MKCode,ClassGroup,NIP,DayID,StartSessions,EndSessions,ClassroomID,UpdateBy,UpdateAt
402,7,1,ENT2221,ENT7,1115027,3,9:00,11:30,1,2017090,2018-01-30 22:35:12
405,7,1,ENT2239,ENT9,1115027,3,8:00,8:50,1,2017091,2018-01-30 22:35:13
418,7,1,PUN0018,HBP10A,3116057,2,8:00,10:30,1,2017092,2018-01-30 22:35:14
418,7,1,PUN0018,HBP10B,3116057,2,11:00,13:30,1,2017093,2018-01-30 22:35:15
418,7,1,PUN0018,HBP10C,3116057,2,14:00,16:30,1,2017094,2018-01-30 22:35:16
438,7,1,HOT0041,HBP22B,3116057,1,10:00,11:40,1,2017095,2018-01-30 22:35:17
401,7,1,ARC2481,ARC9,2117010,5,13:00,17:00,1,2017096,2018-01-30 22:35:18
527,7,1,STE2206,STE10,2315075,5,13:00,14:40,2,2017097,2018-01-30 22:35:19
521,7,1,PDP2183,PDP9,2415069,3,13:00,17:20,2,2017098,2018-01-30 22:35:20
357,7,1,ENV1203,ENV2,2616002,1,13:00,15:30,2,2017099,2018-01-30 22:35:21
542,7,1,ENV2204,ENV9,2616002,3,9:00,11:30,2,2017100,2018-01-30 22:35:22
545,7,1,ENV2203,ENV10,2616007,2,13:00,15:30,2,2017101,2018-01-30 22:35:23
537,7,1,URP1202,URP2,2516018,5,9:00,11:30,2,2017102,2018-01-30 22:35:24
364,7,1,STE1201,STE1,2317041,1,8:00,10:30,2,2017103,2018-01-30 22:35:25
526,7,1,STE2204,STE8,2317041,2,8:00,10:30,2,2017104,2018-01-30 22:35:26
381,7,1,CEM3201,CEM14,2215017,1,8:00,9:40,3,2017105,2018-01-30 22:35:27
414,7,1,ACC2265,ACC8,1115054,1,13:00,13:50,3,2017106,2018-01-30 22:35:28
360,7,1,PDP1203,PDP1,2415078,2,15:00,16:40,3,2017107,2018-01-30 22:35:29
544,7,1,ENV2207,ENV6,2616007,5,15:00,16:40,3,2017108,2018-01-30 22:35:30
361,7,1,PDP1204,PDP2,2416026,2,13:00,14:40,3,2017109,2018-01-30 22:35:31
562,7,1,LAW3208,LAW27,3016044,1,10:00,11:40,3,2017110,2018-01-30 22:35:32
411,7,1,ACC2209,ACC10,1217099,3,8:00,11:20,3,2017111,2018-01-30 22:35:33
383,7,1,CEM3221,CEM16,2217015,2,9:00,11:30,3,2017112,2018-01-30 22:35:34
543,7,1,ENV2208,ENV5,2317041,1,13:00,14:40,3,2017113,2018-01-30 22:35:35
410,7,1,ACC2208,ACC9,1217055,3,13:00,15:30,3,2017114,2018-01-30 22:35:36
363,7,1,PDP1206,PDP4,2417037,5,13:00,14:40,3,2017115,2018-01-30 22:35:37
524,7,1,PDP3203,PDP7,2417037,5,9:00,11:30,3,2017116,2018-01-30 22:35:38
118,7,1,HOT0008,HBP2C-2,1015022,5,10:00,11:40,4,2017117,2018-01-30 22:35:39
119,7,1,HOT0009,HBP3C-2,1015022,5,13:00,16:20,4,2017118,2018-01-30 22:35:40
440,7,1,HOT0043,HBP611,3114038,5,13:00,15:30,4,2017119,2018-01-30 22:35:41
430,7,1,ENT3232,ENT11,1114080,2,13:00,16:20,4,2017120,2018-01-30 22:35:42
122,7,1,HOT0012,HBP6A,3116051,1,10:00,11:40,4,2017121,2018-01-30 22:35:43
120,7,1,HOT0010,HBP4A,3117021,1,8:00,9:40,4,2017122,2018-01-30 22:35:44
427,7,1,CEM3411,CEM18,2217057,5,8:00,9:40,4,2017123,2018-01-30 22:35:45
436,7,1,HOT0039,HBP20A-1,3117018,4,10:00,11:40,5,2017124,2018-01-30 22:35:46
437,7,1,HOT0040,HBP21A-1,3117018,4,13:00,16:20,5,2017125,2018-01-30 22:35:47
342,7,1,ENT1235,ENT2,1117048,5,8:00,11:20,5,2017126,2018-01-30 22:35:48
419,7,1,HOT0020,HBP13A-1,3117079,1,13:00,16:20,5,2017127,2018-01-30 22:35:49
420,7,1,HOT0019,HBP12A-1,3117079,1,10:00,11:40,5,2017128,2018-01-30 22:35:50
421,7,1,HOT0021,HBP14A,3117079,1,8:00,9:40,5,2017129,2018-01-30 22:35:51
124,7,1,HOT0014,HBP8A,3114014,1,15:00,16:40,6,2017130,2018-01-30 22:35:52
124,7,1,HOT0014,HBP8B,3114014,1,8:00,9:40,6,2017131,2018-01-30 22:35:53
442,7,1,HOT0045,HBP613,3115061,0,13:00,15:30,6,2017132,2018-01-30 22:35:54
441,7,1,HOT0044,HBP612,3114039,0,16:00,17:40,6,2017133,2018-01-30 22:35:55
358,7,1,ENV1204,ENV1,2616007,5,13:00,14:40,6,2017134,2018-01-30 22:35:56
539,7,1,URP1201,URP1,2616007,5,13:00,14:40,6,2017135,2018-01-30 22:35:57
525,7,1,PDP2205,PDP8,2416026,2,9:00,11:30,6,2017136,2018-01-30 22:35:58
122,7,1,HOT0012,HBP6B,3116051,1,13:00,14:40,6,2017137,2018-01-30 22:35:59
373,7,1,CEM1203,CEM3,2217002,2,13:00,15:30,6,2017138,2018-01-30 22:35:60
406,7,1,ENT2260,ENT4,1117007,4,13:00,15:30,6,2017139,2018-01-30 22:35:61
540,7,1,URP1205,URP5,2516028,2,9:00,11:30,6,2017140,2018-01-30 22:35:62
408,7,1,ENT2215,ENT3,1017082,4,8:00,11:20,6,2017141,2018-01-30 22:35:63
421,7,1,HOT0021,HBP14C,3117079,3,10:00,11:40,6,2017142,2018-01-30 22:35:64
470,7,1,PDP3102,PDP6,2415078,4,13:00,15:30,7,2017143,2018-01-30 22:35:65
522,7,1,PDP3102,PDP6,2415078,4,13:00,15:30,7,2017144,2018-01-30 22:35:66
367,7,1,STE1203,STE3,2316017,2,13:00,15:30,7,2017145,2018-01-30 22:35:67
353,7,1,ARC3216,ARC12A,2116042,5,8:00,12:00,7,2017146,2018-01-30 22:35:68
353,7,1,ARC3216,ARC12A,2116042,5,13:00,17:00,7,2017147,2018-01-30 22:35:69
362,7,1,PDP1205,PDP3,2417036,4,8:00,12:20,7,2017148,2018-01-30 22:35:70
353,7,1,ARC3216,ARC12A,2117058,1,8:00,12:00,7,2017149,2018-01-30 22:35:71
353,7,1,ARC3216,ARC12A,2117058,1,13:00,17:00,7,2017150,2018-01-30 22:35:72
353,7,1,ARC3216,ARC12A,2117058,3,13:00,17:00,7,2017151,2018-01-30 22:35:73
561,7,1,LAW3207,LAW26,3015064,5,14:00,15:40,8,2017152,2018-01-30 22:35:74
387,7,1,LAW1203,LAW4,3015047,2,13:00,14:40,8,2017153,2018-01-30 22:35:75
388,7,1,LAW1204,LAW5,3015047,2,15:00,16:40,8,2017154,2018-01-30 22:35:76
558,7,1,LAW3204,LAW23,3015047,2,10:00,11:40,8,2017155,2018-01-30 22:35:77
385,7,1,LAW1201,LAW2,3016044,3,13:00,14:40,8,2017156,2018-01-30 22:35:78
392,7,1,LAW2201,LAW10,3016044,1,8:00,9:40,8,2017157,2018-01-30 22:35:79
390,7,1,LAW1206,LAW7,3017001,1,13:00,15:30,8,2017158,2018-01-30 22:35:80
395,7,1,LAW2204,LAW13,3017001,4,13:00,14:40,8,2017159,2018-01-30 22:35:81
396,7,1,LAW2205,LAW14,3017001,2,10:00,11:40,8,2017160,2018-01-30 22:35:82
560,7,1,LAW3206,LAW25,3017001,2,8:00,9:40,8,2017161,2018-01-30 22:35:83
546,7,1,ENV2202,ENV3,2617085,3,15:00,17:30,8,2017162,2018-01-30 22:35:84
563,7,1,LAW3177,LAW28,3017071,5,10:00,11:40,8,2017163,2018-01-30 22:35:85
556,7,1,LAW3202,LAW21,3017073,5,8:00,9:40,8,2017164,2018-01-30 22:35:86
519,7,1,ACC4223,ACC17,1215032,3,8:00,13:00,9,2017165,2018-01-30 22:35:87
341,7,1,ACC1259,ACC2,1115054,1,8:00,11:20,9,2017166,2018-01-30 22:35:88
413,7,1,ACC2264,ACC5,1115054,2,13:00,15:30,9,2017167,2018-01-30 22:35:89
432,7,1,ACC3114,ACC15,1115054,2,10:00,11:40,9,2017168,2018-01-30 22:35:90
371,7,1,CEM1201,CEM1,2616002,3,13:00,15:30,9,2017169,2018-01-30 22:35:91
547,7,1,ENV2201,ENV4,2616002,5,9:00,11:30,9,2017170,2018-01-30 22:35:92
375,7,1,CEM2212,CEM7,2217096,4,9:00,11:30,9,2017171,2018-01-30 22:35:93
384,7,1,CEM3222,CEM17,2217096,4,13:00,15:30,9,2017172,2018-01-30 22:35:94
344,7,1,ARC1222,ARC2A,2114045,1,9:00,11:30,10,2017173,2018-01-30 22:35:95
344,7,1,ARC1222,ARC2B,2114045,1,13:00,15:30,10,2017174,2018-01-30 22:35:96
393,7,1,LAW2202,LAW11,3015016,1,10:00,11:40,10,2017175,2018-01-30 22:35:97
399,7,1,LAW2208,LAW17,3016044,5,10:00,11:40,10,2017176,2018-01-30 22:35:98
397,7,1,LAW2206,LAW15,3017009,2,8:00,9:40,10,2017177,2018-01-30 22:35:99
425,7,1,URP3206,ARC11,2516027,4,13:00,14:40,10,2017178,2018-01-30 22:35:100
382,7,1,CEM3211,CEM15,2117026,5,13:00,14:40,10,2017179,2018-01-30 22:35:101
535,7,1,CEM4212,CEM21,2217057,4,15:00,16:40,10,2017180,2018-01-30 22:35:102
111,7,1,PUN0003,HBP17B,1117056,3,13:00,16:20,10,2017181,2018-01-30 22:35:103
110,7,1,PUN0004,HBP1A,3117070,3,8:00,11:20,10,2017182,2018-01-30 22:35:104
110,7,1,PUN0004,HBP1B,3117070,3,13:00,16:20,10,2017183,2018-01-30 22:35:105
528,7,1,STE2202,STE6,2315075,4,9:00,11:30,11,2017184,2018-01-30 22:35:106
366,7,1,STE1204,STE4,2316017,4,13:00,15:30,11,2017185,2018-01-30 22:35:107
439,7,1,HOT0042,HBP19B,3117018,5,8:00,11:20,11,2017186,2018-01-30 22:35:108
