ID,Semester,NPM,JadwalID,UTS,UAS,NilaiAkhir,NilaiHuruf,approval
1,1,21140001,75,70.00,0,22.50,E,1
1,1,21140001,75,70.00,0,22.50,E,1
1,1,21140001,75,70.00,0,22.50,E,1
1,1,21140001,75,70.00,0,22.50,E,1
1,1,21140001,75,70.00,0,22.50,E,1
2,1,21140002,85,50,80,69.70,B-,1
2,1,21140002,85,50,80,69.70,B-,1
2,1,21140002,85,50,80,69.70,B-,1
2,1,21140002,85,50,80,69.70,B-,1
2,1,21140002,85,50,80,69.70,B-,1
3,1,21140003,137,74.20,65,69.72,B-,1
3,1,21140003,137,74.20,65,69.72,B-,1
3,1,21140003,137,74.20,65,69.72,B-,1
3,1,21140003,137,74.20,65,69.72,B-,1
3,1,21140003,137,74.20,65,69.72,B-,1
4,1,21140004,137,90.00,85,84.90,A-,1
4,1,21140004,137,90.00,85,84.90,A-,1
4,1,21140004,137,90.00,85,84.90,A-,1
4,1,21140004,137,90.00,85,84.90,A-,1
4,1,21140004,137,90.00,85,84.90,A-,1
5,1,21140005,255,51.66,0,24.72,E,1
5,1,21140005,255,51.66,0,24.72,E,1
5,1,21140005,255,51.66,0,24.72,E,1
5,1,21140005,255,51.66,0,24.72,E,1
5,1,21140005,255,51.66,0,24.72,E,1
6,1,21140006,137,88.50,95,89.22,A,1
6,1,21140006,137,88.50,95,89.22,A,1
6,1,21140006,137,88.50,95,89.22,A,1
6,1,21140006,137,88.50,95,89.22,A,1
6,1,21140006,137,88.50,95,89.22,A,1
7,1,31140001,141,90.70,85,86.44,A,1
7,1,31140001,141,90.70,85,86.44,A,1
7,1,31140001,141,90.70,85,86.44,A,1
7,1,31140001,141,90.70,85,86.44,A,1
7,1,31140001,141,90.70,85,86.44,A,1
8,1,31140002,281,81.67,73.33,77.94,B+,1
8,1,31140002,281,81.67,73.33,77.94,B+,1
8,1,31140002,281,81.67,73.33,77.94,B+,1
8,1,31140002,281,81.67,73.33,77.94,B+,1
8,1,31140002,281,81.67,73.33,77.94,B+,1
9,1,31140003,297,75.00,78.33,77.55,B+,1
9,1,31140003,297,75.00,78.33,77.55,B+,1
9,1,31140003,297,75.00,78.33,77.55,B+,1
9,1,31140003,297,75.00,78.33,77.55,B+,1
9,1,31140003,297,75.00,78.33,77.55,B+,1
10,1,31140004,141,87.80,85,84.18,A-,1
10,1,31140004,141,87.80,85,84.18,A-,1
10,1,31140004,141,87.80,85,84.18,A-,1
10,1,31140004,141,87.80,85,84.18,A-,1
10,1,31140004,141,87.80,85,84.18,A-,1
11,1,31140005,281,73.34,76.15,77.52,B+,1
11,1,31140005,281,73.34,76.15,77.52,B+,1
11,1,31140005,281,73.34,76.15,77.52,B+,1
11,1,31140005,281,73.34,76.15,77.52,B+,1
11,1,31140005,281,73.34,76.15,77.52,B+,1
12,1,31140006,297,76.67,56.68,70.13,B,1
12,1,31140006,297,76.67,56.68,70.13,B,1
12,1,31140006,297,76.67,56.68,70.13,B,1
12,1,31140006,297,76.67,56.68,70.13,B,1
12,1,31140006,297,76.67,56.68,70.13,B,1
14,1,31140008,281,76.67,77.22,80.20,A-,1
14,1,31140008,281,76.67,77.22,80.20,A-,1
14,1,31140008,281,76.67,77.22,80.20,A-,1
14,1,31140008,281,76.67,77.22,80.20,A-,1
14,1,31140008,281,76.67,77.22,80.20,A-,1
15,1,31140009,141,92.10,90,89.23,A,1
15,1,31140009,141,92.10,90,89.23,A,1
15,1,31140009,141,92.10,90,89.23,A,1
15,1,31140009,141,92.10,90,89.23,A,1
15,1,31140009,141,92.10,90,89.23,A,1
16,1,31140010,281,71.67,80.88,80.20,A-,1
16,1,31140010,281,71.67,80.88,80.20,A-,1
16,1,31140010,281,71.67,80.88,80.20,A-,1
16,1,31140010,281,71.67,80.88,80.20,A-,1
16,1,31140010,281,71.67,80.88,80.20,A-,1
17,1,31140011,281,85.00,60.84,70.02,B,1
17,1,31140011,281,85.00,60.84,70.02,B,1
17,1,31140011,281,85.00,60.84,70.02,B,1
17,1,31140011,281,85.00,60.84,70.02,B,1
17,1,31140011,281,85.00,60.84,70.02,B,1
18,1,31140012,141,81.40,75,78.09,B+,1
18,1,31140012,141,81.40,75,78.09,B+,1
18,1,31140012,141,81.40,75,78.09,B+,1
18,1,31140012,141,81.40,75,78.09,B+,1
18,1,31140012,141,81.40,75,78.09,B+,1
19,1,22140001,282,85.00,91,86.58,A,1
19,1,22140001,282,85.00,91,86.58,A,1
19,1,22140001,282,85.00,91,86.58,A,1
