ID,CurriculumID,Semester,CurriculumTypeID,ProdiID,EducationLevelID,MKID,MKCode,MKType,LecturerNIP,CoursesGroupsID,TotalSKS,SKSTeori,SKSPraktikum,SKSPraktikLapangan,StatusMK,PreconditionMKID,StatusSilabus,StatusSAP,UpdateBy,UpdateAt
1,1,1,2,4,NULL,1,UNI1004,1,1214044,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
2,1,1,2,3,NULL,2,UNI1003,1,1114058,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
3,1,1,1,3,NULL,3,UNI1001,1,1114005,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
4,1,1,2,4,NULL,4,SOC1001,1,1114005,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
5,1,1,1,4,NULL,5,UNI1002,1,NULL,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
6,1,1,2,3,NULL,1,UNI1004,1,1114053,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
7,1,1,1,3,NULL,4,SOC1001,1,1014034,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
8,1,1,1,3,NULL,5,UNI1002,1,1214044,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
9,1,1,2,5,NULL,1,UNI1004,1,1114053,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
10,1,1,2,5,NULL,2,UNI1003,1,1114058,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
11,1,1,2,5,NULL,3,UNI1001,1,1114005,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
12,1,1,2,4,NULL,2,UNI1003,1,NULL,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
13,1,1,2,1,NULL,3,UNI1001,1,1114005,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
14,1,1,2,1,NULL,2,UNI1003,1,NULL,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
